"","ind","ref","param","RSF_estimate"
"Prey_predicted270","Fish72","Ref","Prey_predicted",-1.2268814838809
"Prey_predicted271","Fish72","Ref","Prey_predicted",-1.52093783447779
"Prey_predicted272","Fish72","Ref","Prey_predicted",0.0433758544437428
"Prey_predicted273","Fish72","Ref","Prey_predicted",0.604994587014365
"Prey_predicted274","Fish72","Ref","Prey_predicted",-0.0995806055453179
"Prey_predicted275","Fish72","Ref","Prey_predicted",0.901888049478278
"Prey_predicted276","Fish72","Ref","Prey_predicted",-1.72526881739217
"Prey_predicted277","Fish72","Ref","Prey_predicted",0.655540963377253
"Prey_predicted278","Fish72","Ref","Prey_predicted",-2.03653037283576
"Prey_predicted279","Fish72","Ref","Prey_predicted",-0.127161192120395
"Prey_predicted280","Fish72","Ref","Prey_predicted",-0.215057316554587
"Prey_predicted281","Fish72","Ref","Prey_predicted",-1.54943752571174
"Prey_predicted282","Fish72","Ref","Prey_predicted",1.39105014087388
"Prey_predicted283","Fish72","Ref","Prey_predicted",-0.506828426910788
"Prey_predicted284","Fish72","Ref","Prey_predicted",-1.19702402791054
"Prey_predicted285","Fish72","Ref","Prey_predicted",-0.913418625930111
"Prey_predicted286","Fish72","Ref","Prey_predicted",-0.0831052852393839
"Prey_predicted287","Fish72","Ref","Prey_predicted",1.03336353070262
"Prey_predicted288","Fish72","Ref","Prey_predicted",0.0247334769206013
"Prey_predicted289","Fish72","Ref","Prey_predicted",0.982449324166612
"Prey_predicted290","Fish72","Ref","Prey_predicted",0.908592573624152
"Prey_predicted291","Fish72","Ref","Prey_predicted",0.0575117371470678
"Prey_predicted292","Fish72","Ref","Prey_predicted",0.804022975891885
"Prey_predicted293","Fish72","Ref","Prey_predicted",0.680869052301359
"Prey_predicted294","Fish72","Ref","Prey_predicted",-1.53729907912066
"Prey_predicted295","Fish72","Ref","Prey_predicted",0.244521055549736
"Prey_predicted296","Fish72","Ref","Prey_predicted",1.35710657799118
"Prey_predicted297","Fish72","Ref","Prey_predicted",-0.744310057095206
"Prey_predicted298","Fish72","Ref","Prey_predicted",-1.39929924379515
"Prey_predicted299","Fish72","Ref","Prey_predicted",-1.71840498383671
"Prey_predicted300","Fish72","Ref","Prey_predicted",0.148907969689127
"Prey_predicted301","Fish72","Ref","Prey_predicted",0.186361377750319
"Prey_predicted302","Fish72","Ref","Prey_predicted",-0.0833844479114548
"Prey_predicted303","Fish72","Ref","Prey_predicted",0.919480250635131
"Prey_predicted304","Fish72","Ref","Prey_predicted",-0.0456934242637096
"Prey_predicted305","Fish72","Ref","Prey_predicted",-0.323282076115118
"Prey_predicted306","Fish72","Ref","Prey_predicted",0.174039737828697
"Prey_predicted307","Fish72","Ref","Prey_predicted",0.206970724850832
"Prey_predicted308","Fish72","Ref","Prey_predicted",1.19789096462064
"Prey_predicted309","Fish72","Ref","Prey_predicted",0.746093144947427
"Prey_predicted310","Fish72","Ref","Prey_predicted",-1.00811552570037
"Prey_predicted311","Fish72","Ref","Prey_predicted",-1.47430435960907
"Prey_predicted312","Fish72","Ref","Prey_predicted",-1.24968430342917
"Prey_predicted313","Fish72","Ref","Prey_predicted",1.86329406041786
"Prey_predicted314","Fish72","Ref","Prey_predicted",1.00554373476959
"Prey_predicted315","Fish72","Ref","Prey_predicted",-0.431199147024792
"Prey_predicted316","Fish72","Ref","Prey_predicted",-0.203177856484467
"Prey_predicted317","Fish72","Ref","Prey_predicted",-1.7759545907877
"Prey_predicted318","Fish72","Ref","Prey_predicted",-0.948699896156969
"Prey_predicted319","Fish72","Ref","Prey_predicted",0.702841463687789
"Prey_predicted320","Fish72","Ref","Prey_predicted",-1.76919042123854
"Prey_predicted321","Fish72","Ref","Prey_predicted",0.39781994489465
"Prey_predicted322","Fish72","Ref","Prey_predicted",-2.11102409001613
"Prey_predicted323","Fish72","Ref","Prey_predicted",1.88922417789551
"Prey_predicted324","Fish72","Ref","Prey_predicted",0.841126349321867
"Prey_predicted325","Fish72","Ref","Prey_predicted",0.194148273041916
"Prey_predicted326","Fish72","Ref","Prey_predicted",1.52064990021371
"Prey_predicted327","Fish72","Ref","Prey_predicted",-0.35483818390165
"Prey_predicted328","Fish72","Ref","Prey_predicted",0.509680530694352
"Prey_predicted329","Fish72","Ref","Prey_predicted",1.58828460135739
"Prey_predicted330","Fish72","Ref","Prey_predicted",0.448460476614345
"Prey_predicted331","Fish72","Ref","Prey_predicted",1.8028596913429
"Prey_predicted332","Fish72","Ref","Prey_predicted",-0.595952236129772
"Prey_predicted333","Fish72","Ref","Prey_predicted",1.08802208590633
"Prey_predicted334","Fish72","Ref","Prey_predicted",0.247293461651623
"Prey_predicted335","Fish72","Ref","Prey_predicted",1.82504363890932
"Prey_predicted336","Fish72","Ref","Prey_predicted",-0.177140895122055
"Prey_predicted337","Fish72","Ref","Prey_predicted",-0.103026871191727
"Prey_predicted338","Fish72","Ref","Prey_predicted",1.43224925265078
"Prey_predicted339","Fish72","Ref","Prey_predicted",-2.03911011328835
"Prey_predicted340","Fish72","Ref","Prey_predicted",0.314484464519944
"Prey_predicted341","Fish72","Ref","Prey_predicted",-1.05834822075565
"Prey_predicted342","Fish72","Ref","Prey_predicted",1.93670984721059
"Prey_predicted343","Fish72","Ref","Prey_predicted",0.518800531827401
"Prey_predicted344","Fish72","Ref","Prey_predicted",0.0442823719115313
"Prey_predicted345","Fish72","Ref","Prey_predicted",1.71799595727599
"Prey_predicted346","Fish72","Ref","Prey_predicted",-0.942124710059471
"Prey_predicted347","Fish72","Ref","Prey_predicted",-0.0572164119429177
"Prey_predicted348","Fish72","Ref","Prey_predicted",0.599554515484212
"Prey_predicted349","Fish72","Ref","Prey_predicted",1.73158093681137
"Prey_predicted350","Fish72","Ref","Prey_predicted",-0.696243340167355
"Prey_predicted351","Fish72","Ref","Prey_predicted",1.37187593738247
"Prey_predicted352","Fish72","Ref","Prey_predicted",-1.07148777539868
"Prey_predicted353","Fish72","Ref","Prey_predicted",0.38000881370338
"Prey_predicted354","Fish72","Ref","Prey_predicted",-0.936982152550126
"Prey_predicted355","Fish72","Ref","Prey_predicted",-0.50788682051453
"Prey_predicted356","Fish72","Ref","Prey_predicted",1.69489868075481
"Prey_predicted357","Fish72","Ref","Prey_predicted",-0.60688617228976
"Prey_predicted358","Fish72","Ref","Prey_predicted",0.865598634878718
"Prey_predicted359","Fish72","Ref","Prey_predicted",-0.344641834002355
"Prey_predicted360","Fish72","Ref","Prey_predicted",1.62948964741977
"Prey_predicted361","Fish72","Ref","Prey_predicted",-0.0363433834059027
"Prey_predicted362","Fish72","Ref","Prey_predicted",-0.991099189320077
"Prey_predicted363","Fish72","Ref","Prey_predicted",-1.34251723864001
"Prey_predicted364","Fish72","Ref","Prey_predicted",-1.27049355181741
"Prey_predicted365","Fish72","Ref","Prey_predicted",-0.145980660196351
"Prey_predicted366","Fish72","Ref","Prey_predicted",-0.664863860230524
"Prey_predicted367","Fish72","Ref","Prey_predicted",0.424743070451465
"Prey_predicted368","Fish72","Ref","Prey_predicted",1.48652963005224
"Prey_predicted369","Fish72","Ref","Prey_predicted",-0.296200111082375
"Prey_predicted370","Fish72","Ref","Prey_predicted",1.42369438058027
"Prey_predicted371","Fish72","Ref","Prey_predicted",-2.692055566772
"Prey_predicted372","Fish72","Ref","Prey_predicted",0.483423520314095
"Prey_predicted373","Fish72","Ref","Prey_predicted",0.789243992987082
"Prey_predicted374","Fish72","Ref","Prey_predicted",0.760401134443422
"Prey_predicted375","Fish72","Ref","Prey_predicted",-0.0468092518465507
"Prey_predicted376","Fish72","Ref","Prey_predicted",-0.301225626131616
"Prey_predicted377","Fish72","Ref","Prey_predicted",1.79672613093236
"Prey_predicted378","Fish72","Ref","Prey_predicted",-1.23154211440004
"Prey_predicted379","Fish72","Ref","Prey_predicted",-0.531546263127358
"Prey_predicted380","Fish72","Ref","Prey_predicted",0.986042086417795
"Prey_predicted381","Fish72","Ref","Prey_predicted",-1.88610363383286
"Prey_predicted382","Fish72","Ref","Prey_predicted",-1.72656214519384
"Prey_predicted383","Fish72","Ref","Prey_predicted",0.43242618189378
"Prey_predicted384","Fish72","Ref","Prey_predicted",0.672326523423957
"Prey_predicted385","Fish72","Ref","Prey_predicted",-0.814523809153408
"Prey_predicted386","Fish72","Ref","Prey_predicted",0.747605709569042
"Prey_predicted387","Fish72","Ref","Prey_predicted",0.813855875787446
"Prey_predicted388","Fish72","Ref","Prey_predicted",-1.87784438731982
"Prey_predicted389","Fish72","Ref","Prey_predicted",-2.59018879775483
